Provinsi;Tahun;Produksi;Luas Panen;Curah hujan;Kelembapan;Suhu rata-rata
0;1993;1329536.00;323589.00;1627.00;82.00;26.06
0;1994;1299699.00;329041.00;1521.00;82.12;26.92
0;1995;1382905.00;339253.00;1476.00;82.72;26.27
0;1996;1419128.00;348223.00;1557.00;83.00;26.08
0;1997;1368074.00;337561.00;1339.00;82.46;26.31
0;1998;1404580.00;365892.00;1465.00;82.60;26.84
0;1999;1478712.00;359817.00;1778.00;82.79;26.14
0;2000;1486909.00;336765.00;1974.70;90.60;27.10
0;2001;1547499.00;295212.00;1688.70;69.48;28.90
0;2002;1314165.00;315131.00;1296.80;68.75;29.20
0;2003;1246614.00;367636.00;1507.20;70.66;29.40
0;2004;1350748.00;370966.00;1097.00;80.84;29.40
0;2005;1411650.00;337893.00;710.50;79.50;26.80
0;2006;1552078.00;320789.00;506.50;80.80;26.73
0;2007;1556858.00;360717.00;1414.00;81.50;26.38
0;2008;1402287.00;329109.00;1270.40;78.50;27.00
0;2009;1533369.00;359375.00;1577.00;78.70;26.90
0;2010;1788738.00;352281.00;1986.00;81.40;27.10
0;2011;1772962.00;380686.00;1268.00;79.40;27.10
0;2012;1582393.00;387803.00;1098.00;79.60;26.90
0;2013;2331046.00;419183.00;1623.60;80.70;27.00
0;2014;1820062.00;376137.00;2264.40;78.30;27.10
0;2015;1956940.00;461060.00;1575.00;80.00;27.10
0;2016;2180754.00;293067.00;1096.00;83.32;27.12
0;2017;2478922.00;294483.00;1905.90;85.57;26.51
0;2018;1751996.94;329515.78;1427.80;83.98;26.48
0;2019;1714437.60;310012.46;1931.40;83.90;26.65
0;2020;1861567.10;317869.41;1619.20;80.82;25.41
1;1993;2918152.00;754569.00;2549.40;83.80;26.45
1;1994;3079960.00;792534.00;2166.50;83.79;26.40
1;1995;3134533.00;795183.00;2917.10;81.68;26.58
1;1996;3136760.00;790051.00;2326.50;81.31;26.33
1;1997;3212208.00;797545.00;1865.00;81.81;26.40
1;1998;3321049.00;823749.00;2496.90;83.53;27.16
1;1999;3451430.00;838626.00;3087.30;84.56;26.45
1;2000;3514253.00;847610.00;1289.50;82.94;27.70
1;2001;3291515.00;801948.00;3595.30;72.78;28.03
1;2002;3153305.00;765161.00;1944.90;72.31;28.45
1;2003;3403075.00;825188.00;3140.20;72.08;29.59
1;2004;3418782.00;826091.00;2406.90;80.79;29.27
1;2005;3447394.00;822073.00;776.70;83.80;27.00
1;2006;3007636.00;705023.00;222.50;81.00;27.80
1;2007;3265834.00;750232.00;2513.00;82.00;27.00
1;2008;3340794.00;748540.00;2442.00;81.40;26.90
1;2009;3527899.00;768407.00;2184.00;86.00;27.10
